iti_time,pain
9.57,no pain
7.3535,pain
9.9694,pain
8.648,no pain
9.9244,no pain
7.4088,pain
8.6357,no pain
7.4465,no pain
9.1741,pain
7.4443,no pain
7.238,pain
8.4459,no pain
8.7975,pain
9.9899,pain
9.3655,no pain
7.8633,no pain
8.6538,no pain
7.7922,pain
6.0178,pain
8.044,no pain
6.1854,pain
9.2705,pain
9.8334,no pain
8.9198,pain
8.2483,pain
7.875,no pain
7.3204,pain
8.3321,no pain
9.4416,no pain
7.5297,no pain
9.4009,pain
7.9142,pain
7.5158,no pain
9.9275,no pain
9.264,no pain
9.3986,pain
7.7549,pain
6.0294,no pain
6.1594,pain
7.7701,pain
9.3616,no pain
7.8118,pain
8.1513,no pain
6.1766,no pain
6.8922,pain
6.0861,no pain
9.4673,pain
8.8638,pain
